,J1,J2,J3,J4,J5,J6
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,4.4,-9.5,5.4,-0.4,0.0
0.2,0.0,12.1,-25.3,15.7,-2.5,0.0
0.3,0.0,19.9,-40.7,26.9,-6.2,0.0
0.4,0.0,25.2,-50.6,34.7,-9.4,0.0
0.5,0.0,30.5,-60.2,42.7,-13.1,0.0
0.6,0.0,38.7,-74.0,54.8,-19.4,0.0
0.7,0.0,47.1,-86.7,66.6,-26.6,0.0
0.8,0.0,53.0,-95.6,74.0,-31.7,0.0
0.9,0.0,59.1,-103.1,80.8,-36.9,0.0
1.0,0.0,68.8,-113.5,88.8,-45.0,0.0
1.1,0.0,79.4,-122.3,96.2,-53.1,0.0
1.2,0.0,86.9,-127.1,98.7,-58.3,0.0
1.3,0.0,95.3,-130.8,99.6,-63.4,0.0
1.4,0.0,107.7,-134.0,98.3,-70.6,0.0
1.5,0.0,119.4,-134.5,95.5,-76.9,0.0
1.6,0.0,126.0,-133.4,84.7,-80.6,0.0
1.7,0.0,133.2,-130.2,81.0,-85.2,0.0
1.8,0.0,136.2,-127.4,77.9,-87.5,0.0
1.9,0.0,138.2,-122.6,73.6,-89.6,0.0
2.0,0.0,137.9,-119.3,71.0,-90.0,0.0
2.1,-0.2,137.0,-115.9,68.6,-90.0,0.0
2.2,-1.3,135.6,-111.0,65.2,-90.0,0.0
2.3,-3.3,134.1,-106.3,62.0,-90.0,0.0
2.4,-5.0,133.0,-103.1,59.9,-90.0,0.0
2.5,-7.2,132.0,-100.1,57.9,-90.0,0.0
2.6,-10.9,130.3,-95.7,55.0,-90.0,0.0
2.7,-15.4,128.7,-91.9,52.2,-90.0,0.0
2.8,-18.7,127.5,-87.4,50.5,-90.0,0.0
2.9,-24.2,125.9,-83.5,47.9,-90.0,0.0
3.0,-28.1,124.7,-80.8,46.2,-90.0,0.0
3.1,-34.4,123.1,-76.7,43.7,-90.0,0.0
3.2,-38.9,121.9,-74.0,42.1,-90.0,0.0
3.3,-43.5,120.9,-71.4,40.6,-90.0,0.0
3.4,-50.7,119.2,-67.5,38.3,-90.0,0.0
3.5,-58.2,117.6,-63.7,36.1,-90.0,0.0
3.6,-63.4,116.6,-61.2,34.7,-90.0,0.0
3.7,-68.6,115.5,-58.8,33.3,-90.0,0.0
3.8,-76.5,114.0,-55.3,31.3,-90.0,0.0
3.9,-84.6,112.5,-51.8,29.3,-90.0,0.0
4.0,-90.0,111.5,-49.6,28.1,-90.0,0.0
4.1,-98.1,110.1,-46.3,26.2,-90.0,0.0
4.2,-103.5,109.1,-44.2,25.0,-90.0,0.0
4.3,-111.4,107.8,-41.1,23.3,-90.0,0.0
4.4,-116.6,106.9,-39.1,22.2,-90.0,0.0
4.5,-121.8,106.1,-37.2,21.2,-90.0,0.0
4.6,-129.3,104.8,-34.5,19.6,-90.0,0.0
4.7,-136.5,103.7,-31.9,18.2,-90.0,0.0
4.8,-141.1,102.9,-30.2,17.3,-90.0,0.0
